,Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
0,,Alabama,1.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,19.0,593306.0,Unreliable
1,,Alabama,1.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,16.0,593306.0,Unreliable
2,,Alabama,1.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,22.0,593306.0,3.7
3,,Alabama,1.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,16.0,596362.0,Unreliable
4,,Alabama,1.0,2020.0,2020.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,10.0,596362.0,Unreliable
5,,Alabama,1.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,11.0,596362.0,Unreliable
6,,Alabama,1.0,2020.0,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,35-44 years,35-44,12.0,596362.0,Unreliable
7,,Alabama,1.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,26.0,596362.0,4.4
8,,Alabama,1.0,2020.0,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,14.0,596362.0,Unreliable
9,,Alabama,1.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,12.0,596362.0,Unreliable
10,,Alabama,1.0,2020.0,2020.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,13.0,596362.0,Unreliable
11,,Arizona,4.0,2019.0,2019.0,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,12.0,896027.0,Unreliable
12,,Arizona,4.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,25-34 years,25-34,10.0,1007093.0,Unreliable
13,,Arizona,4.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,23.0,896027.0,2.6
14,,Arizona,4.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,13.0,896027.0,Unreliable
15,,Arizona,4.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,12.0,1007093.0,Unreliable
16,,Arizona,4.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,28.0,896027.0,3.1
17,,Arizona,4.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,11.0,896027.0,Unreliable
18,,Arizona,4.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,12.0,896027.0,Unreliable
19,,Arizona,4.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,10.0,896027.0,Unreliable
20,,Arizona,4.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,20.0,913916.0,2.2
21,,Arizona,4.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,13.0,913916.0,Unreliable
22,,Arizona,4.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,12.0,1030830.0,Unreliable
23,,Arizona,4.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,33.0,913916.0,3.6
24,,Arizona,4.0,2020.0,2020.0,Malignant neoplasm of ovary,C56,35-44 years,35-44,13.0,913916.0,Unreliable
25,,Arizona,4.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,25-34 years,25-34,10.0,1030830.0,Unreliable
26,,Arizona,4.0,2020.0,2020.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,20.0,913916.0,2.2
27,,Arkansas,5.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,13.0,370263.0,Unreliable
28,,Arkansas,5.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,15.0,370263.0,Unreliable
29,,Arkansas,5.0,2020.0,2020.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,10.0,372730.0,Unreliable
30,,Arkansas,5.0,2020.0,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,14.0,372730.0,Unreliable
31,,Arkansas,5.0,2020.0,2020.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,20.0,372730.0,5.4
32,,California,6.0,2019.0,2019.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,35-44 years,35-44,19.0,5282100.0,Unreliable
33,,California,6.0,2019.0,2019.0,"Stomach, unspecified - Malignant neoplasms",C16.9,25-34 years,25-34,18.0,6052952.0,Unreliable
34,,California,6.0,2019.0,2019.0,"Stomach, unspecified - Malignant neoplasms",C16.9,35-44 years,35-44,83.0,5282100.0,1.6
35,,California,6.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,25-34 years,25-34,33.0,6052952.0,0.5
36,,California,6.0,2019.0,2019.0,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,115.0,5282100.0,2.2
37,,California,6.0,2019.0,2019.0,Malignant neoplasm of rectosigmoid junction,C19,35-44 years,35-44,11.0,5282100.0,Unreliable
38,,California,6.0,2019.0,2019.0,Malignant neoplasm of rectum,C20,35-44 years,35-44,44.0,5282100.0,0.8
39,,California,6.0,2019.0,2019.0,Liver cell carcinoma - Malignant neoplasms,C22.0,35-44 years,35-44,12.0,5282100.0,Unreliable
40,,California,6.0,2019.0,2019.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,35-44 years,35-44,20.0,5282100.0,0.4
41,,California,6.0,2019.0,2019.0,"Liver, unspecified - Malignant neoplasms",C22.9,35-44 years,35-44,12.0,5282100.0,Unreliable
42,,California,6.0,2019.0,2019.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,35-44 years,35-44,55.0,5282100.0,1
43,,California,6.0,2019.0,2019.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,35-44 years,35-44,60.0,5282100.0,1.1
44,,California,6.0,2019.0,2019.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,15-24 years,15-24,24.0,5180973.0,0.5
45,,California,6.0,2019.0,2019.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,25-34 years,25-34,16.0,6052952.0,Unreliable
46,,California,6.0,2019.0,2019.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,35-44 years,35-44,21.0,5282100.0,0.4
47,,California,6.0,2019.0,2019.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,15-24 years,15-24,13.0,5180973.0,Unreliable
48,,California,6.0,2019.0,2019.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,25-34 years,25-34,19.0,6052952.0,Unreliable
49,,California,6.0,2019.0,2019.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,35-44 years,35-44,20.0,5282100.0,0.4
50,,California,6.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,25-34 years,25-34,51.0,6052952.0,0.8
51,,California,6.0,2019.0,2019.0,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,203.0,5282100.0,3.8
52,,California,6.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,25-34 years,25-34,26.0,6052952.0,0.4
53,,California,6.0,2019.0,2019.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,35-44 years,35-44,49.0,5282100.0,0.9
54,,California,6.0,2019.0,2019.0,Endometrium - Malignant neoplasms,C54.1,35-44 years,35-44,10.0,5282100.0,Unreliable
55,,California,6.0,2019.0,2019.0,"Malignant neoplasm of uterus, part unspecified",C55,35-44 years,35-44,16.0,5282100.0,Unreliable
56,,California,6.0,2019.0,2019.0,Malignant neoplasm of ovary,C56,25-34 years,25-34,15.0,6052952.0,Unreliable
57,,California,6.0,2019.0,2019.0,Malignant neoplasm of ovary,C56,35-44 years,35-44,50.0,5282100.0,0.9
58,,California,6.0,2019.0,2019.0,"Testis, unspecified - Malignant neoplasms",C62.9,15-24 years,15-24,10.0,5180973.0,Unreliable
59,,California,6.0,2019.0,2019.0,"Testis, unspecified - Malignant neoplasms",C62.9,25-34 years,25-34,21.0,6052952.0,0.3
60,,California,6.0,2019.0,2019.0,"Malignant neoplasm of kidney, except renal pelvis",C64,25-34 years,25-34,13.0,6052952.0,Unreliable
61,,California,6.0,2019.0,2019.0,"Malignant neoplasm of kidney, except renal pelvis",C64,35-44 years,35-44,27.0,5282100.0,0.5
62,,California,6.0,2019.0,2019.0,"Bladder, unspecified - Malignant neoplasms",C67.9,35-44 years,35-44,11.0,5282100.0,Unreliable
63,,California,6.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,5-14 years,14-May,25.0,5007987.0,0.5
64,,California,6.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,15-24 years,15-24,29.0,5180973.0,0.6
65,,California,6.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,25-34 years,25-34,55.0,6052952.0,0.9
66,,California,6.0,2019.0,2019.0,"Brain, unspecified - Malignant neoplasms",C71.9,35-44 years,35-44,74.0,5282100.0,1.4
67,,California,6.0,2019.0,2019.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,35-44 years,35-44,10.0,5282100.0,Unreliable
68,,California,6.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,25-34 years,25-34,20.0,6052952.0,0.3
69,,California,6.0,2019.0,2019.0,Malignant neoplasm without specification of site,C80,35-44 years,35-44,51.0,5282100.0,1
70,,California,6.0,2019.0,2019.0,"Hodgkin disease, unspecified",C81.9,35-44 years,35-44,10.0,5282100.0,Unreliable
71,,California,6.0,2019.0,2019.0,Non-Hodgkin lymphoma large cell (diffuse),C83.3,35-44 years,35-44,15.0,5282100.0,Unreliable
72,,California,6.0,2019.0,2019.0,"Non-Hodgkin lymphoma, unspecified type",C85.9,35-44 years,35-44,18.0,5282100.0,Unreliable
73,,California,6.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,5-14 years,14-May,18.0,5007987.0,Unreliable
74,,California,6.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,15-24 years,15-24,23.0,5180973.0,0.4
75,,California,6.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,25-34 years,25-34,25.0,6052952.0,0.4
76,,California,6.0,2019.0,2019.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,35-44 years,35-44,23.0,5282100.0,0.4
77,,California,6.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,15-24 years,15-24,15.0,5180973.0,Unreliable
78,,California,6.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,25-34 years,25-34,16.0,6052952.0,Unreliable
79,,California,6.0,2019.0,2019.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,35-44 years,35-44,32.0,5282100.0,0.6
