,Year,Cause of death,Race,Deaths
101,2020.0,"Tongue, unspecified - Malignant neoplasms",White,25.0
102,2020.0,"Mouth, unspecified - Malignant neoplasms",White,31.0
103,2020.0,Malignant neoplasm of parotid gland,White,10.0
104,2020.0,"Oropharynx, unspecified - Malignant neoplasms",White,16.0
105,2020.0,"Pharynx, unspecified - Malignant neoplasms",Black or African American,15.0
106,2020.0,"Pharynx, unspecified - Malignant neoplasms",White,36.0
107,2020.0,"Oesophagus, unspecified - Malignant neoplasms",Black or African American,36.0
108,2020.0,"Oesophagus, unspecified - Malignant neoplasms",White,191.0
109,2020.0,Cardia - Malignant neoplasms,White,17.0
110,2020.0,"Stomach, unspecified - Malignant neoplasms",Black or African American,53.0
111,2020.0,"Stomach, unspecified - Malignant neoplasms",White,81.0
112,2020.0,Ascending colon - Malignant neoplasms,White,10.0
113,2020.0,Sigmoid colon - Malignant neoplasms,White,17.0
114,2020.0,"Colon, unspecified - Malignant neoplasms",Black or African American,192.0
115,2020.0,"Colon, unspecified - Malignant neoplasms",White,456.0
116,2020.0,Malignant neoplasm of rectosigmoid junction,Black or African American,14.0
117,2020.0,Malignant neoplasm of rectosigmoid junction,White,39.0
118,2020.0,Malignant neoplasm of rectum,Black or African American,20.0
119,2020.0,Malignant neoplasm of rectum,White,76.0
120,2020.0,"Anus, unspecified - Malignant neoplasms",White,15.0
121,2020.0,Liver cell carcinoma - Malignant neoplasms,Black or African American,48.0
122,2020.0,Liver cell carcinoma - Malignant neoplasms,White,98.0
123,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,Black or African American,23.0
124,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,White,94.0
125,2020.0,"Liver, unspecified - Malignant neoplasms",Black or African American,44.0
126,2020.0,"Liver, unspecified - Malignant neoplasms",White,193.0
127,2020.0,Malignant neoplasm of gallbladder,White,19.0
128,2020.0,Extrahepatic bile duct - Malignant neoplasms,White,18.0
129,2020.0,"Biliary tract, unspecified - Malignant neoplasms",White,10.0
130,2020.0,Head of pancreas - Malignant neoplasms,White,29.0
131,2020.0,Body of pancreas - Malignant neoplasms,White,10.0
132,2020.0,Tail of pancreas - Malignant neoplasms,White,10.0
133,2020.0,"Pancreas, unspecified - Malignant neoplasms",Black or African American,175.0
134,2020.0,"Pancreas, unspecified - Malignant neoplasms",White,540.0
135,2020.0,Ill-defined sites within the digestive system - Malignant neoplasms,White,25.0
136,2020.0,"Larynx, unspecified - Malignant neoplasms",Black or African American,21.0
137,2020.0,"Larynx, unspecified - Malignant neoplasms",White,47.0
138,2020.0,Main bronchus - Malignant neoplasms,White,12.0
139,2020.0,"Upper lobe, bronchus or lung - Malignant neoplasms",White,73.0
140,2020.0,"Lower lobe, bronchus or lung - Malignant neoplasms",White,31.0
141,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",Asian or Pacific Islander,13.0
142,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",Black or African American,471.0
143,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",White,2107.0
144,2020.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",White,26.0
145,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",White,109.0
146,2020.0,Skin of scalp and neck - Malignant neoplasms,White,13.0
147,2020.0,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",White,39.0
148,2020.0,"Mesothelioma, unspecified - Malignant neoplasms",White,14.0
149,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",Black or African American,20.0
150,2020.0,"Connective and soft tissue, unspecified - Malignant neoplasms",White,40.0
151,2020.0,"Breast, unspecified - Malignant neoplasms",Black or African American,195.0
152,2020.0,"Breast, unspecified - Malignant neoplasms",White,482.0
153,2020.0,"Vulva, unspecified - Malignant neoplasms",White,19.0
154,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",Black or African American,42.0
155,2020.0,"Cervix uteri, unspecified - Malignant neoplasms",White,52.0
156,2020.0,Endometrium - Malignant neoplasms,Black or African American,35.0
157,2020.0,Endometrium - Malignant neoplasms,White,69.0
158,2020.0,"Malignant neoplasm of uterus, part unspecified",Black or African American,26.0
159,2020.0,"Malignant neoplasm of uterus, part unspecified",White,22.0
160,2020.0,Malignant neoplasm of ovary,Black or African American,49.0
161,2020.0,Malignant neoplasm of ovary,White,136.0
162,2020.0,Malignant neoplasm of prostate,Black or African American,191.0
163,2020.0,Malignant neoplasm of prostate,White,339.0
164,2020.0,"Malignant neoplasm of kidney, except renal pelvis",Black or African American,44.0
165,2020.0,"Malignant neoplasm of kidney, except renal pelvis",White,161.0
166,2020.0,"Bladder, unspecified - Malignant neoplasms",Black or African American,37.0
167,2020.0,"Bladder, unspecified - Malignant neoplasms",White,245.0
168,2020.0,Frontal lobe - Malignant neoplasms,White,23.0
169,2020.0,"Brain, unspecified - Malignant neoplasms",Black or African American,33.0
170,2020.0,"Brain, unspecified - Malignant neoplasms",White,219.0
171,2020.0,Malignant neoplasm of thyroid gland,White,22.0
172,2020.0,"Head, face and neck - Malignant neoplasms",White,20.0
173,2020.0,Secondary malignant neoplasm of liver - Malignant neoplasms,White,12.0
174,2020.0,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,White,12.0
175,2020.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,White,30.0
176,2020.0,Malignant neoplasm without specification of site,Black or African American,121.0
177,2020.0,Malignant neoplasm without specification of site,White,367.0
178,2020.0,"Hodgkin disease, unspecified",White,15.0
179,2020.0,"Follicular non-Hodgkin lymphoma, unspecified",White,13.0
180,2020.0,Non-Hodgkin lymphoma small cleaved cell (diffuse),White,10.0
181,2020.0,Non-Hodgkin lymphoma large cell (diffuse),White,40.0
182,2020.0,"B-cell lymphoma, unspecified - Malignant neoplasms",White,54.0
183,2020.0,"Non-Hodgkin lymphoma, unspecified type",Black or African American,18.0
184,2020.0,"Non-Hodgkin lymphoma, unspecified type",White,122.0
185,2020.0,Multiple myeloma - Malignant neoplasms,Black or African American,83.0
186,2020.0,Multiple myeloma - Malignant neoplasms,White,138.0
187,2020.0,Acute lymphoblastic leukaemia - Malignant neoplasms,White,17.0
188,2020.0,Chronic lymphocytic leukaemia - Malignant neoplasms,White,39.0
189,2020.0,"Lymphoid leukaemia, unspecified - Malignant neoplasms",White,11.0
190,2020.0,Acute myeloid leukaemia - Malignant neoplasms,Black or African American,38.0
191,2020.0,Acute myeloid leukaemia - Malignant neoplasms,White,121.0
192,2020.0,Chronic myeloid leukaemia - Malignant neoplasms,White,13.0
193,2020.0,"Myeloid leukaemia, unspecified - Malignant neoplasms",White,11.0
194,2020.0,Acute leukaemia of unspecified cell type - Malignant neoplasms,White,10.0
195,2020.0,"Leukaemia, unspecified - Malignant neoplasms",White,49.0
196,2020.0,Malignant neoplasms of independent (primary) multiple sites,Black or African American,16.0
197,2020.0,Malignant neoplasms of independent (primary) multiple sites,White,97.0
198,2020.0,"Brain, unspecified - Uncertain neoplasms",White,18.0
199,2020.0,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",Black or African American,15.0
200,2020.0,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",White,91.0
201,2020.0,Chronic myeloproliferative disease - Uncertain neoplasms,White,12.0
226,2020.0,"Oesophagus, unspecified - Malignant neoplasms",White,13.0
227,2020.0,"Stomach, unspecified - Malignant neoplasms",American Indian or Alaska Native,15.0
228,2020.0,"Stomach, unspecified - Malignant neoplasms",White,10.0
229,2020.0,"Colon, unspecified - Malignant neoplasms",American Indian or Alaska Native,21.0
230,2020.0,"Colon, unspecified - Malignant neoplasms",White,41.0
231,2020.0,Malignant neoplasm of rectum,White,16.0
232,2020.0,Liver cell carcinoma - Malignant neoplasms,American Indian or Alaska Native,10.0
233,2020.0,Liver cell carcinoma - Malignant neoplasms,White,12.0
234,2020.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,White,11.0
235,2020.0,"Pancreas, unspecified - Malignant neoplasms",American Indian or Alaska Native,21.0
236,2020.0,"Pancreas, unspecified - Malignant neoplasms",White,58.0
237,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",American Indian or Alaska Native,44.0
238,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",Asian or Pacific Islander,14.0
239,2020.0,"Bronchus or lung, unspecified - Malignant neoplasms",White,176.0
240,2020.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",White,13.0
241,2020.0,"Breast, unspecified - Malignant neoplasms",American Indian or Alaska Native,14.0
242,2020.0,"Breast, unspecified - Malignant neoplasms",White,39.0
243,2020.0,Malignant neoplasm of ovary,White,12.0
244,2020.0,Malignant neoplasm of prostate,White,46.0
245,2020.0,"Malignant neoplasm of kidney, except renal pelvis",White,19.0
246,2020.0,"Bladder, unspecified - Malignant neoplasms",White,17.0
247,2020.0,"Brain, unspecified - Malignant neoplasms",White,22.0
248,2020.0,Malignant neoplasm without specification of site,American Indian or Alaska Native,18.0
249,2020.0,Malignant neoplasm without specification of site,White,61.0
250,2020.0,Multiple myeloma - Malignant neoplasms,White,11.0
251,2020.0,Acute myeloid leukaemia - Malignant neoplasms,White,12.0
367,2020.0,"Tongue, unspecified - Malignant neoplasms",White,46.0
368,2020.0,"Mouth, unspecified - Malignant neoplasms",White,15.0
369,2020.0,Malignant neoplasm of parotid gland,White,10.0
370,2020.0,"Tonsil, unspecified - Malignant neoplasms",White,22.0
371,2020.0,"Oropharynx, unspecified - Malignant neoplasms",White,26.0
372,2020.0,"Pharynx, unspecified - Malignant neoplasms",White,33.0
373,2020.0,"Oesophagus, unspecified - Malignant neoplasms",White,293.0
374,2020.0,Cardia - Malignant neoplasms,White,12.0
375,2020.0,"Stomach, unspecified - Malignant neoplasms",American Indian or Alaska Native,14.0
376,2020.0,"Stomach, unspecified - Malignant neoplasms",Black or African American,14.0
377,2020.0,"Stomach, unspecified - Malignant neoplasms",White,164.0
378,2020.0,Duodenum - Malignant neoplasms,White,18.0
379,2020.0,Caecum - Malignant neoplasms,White,13.0
380,2020.0,Appendix - Malignant neoplasms,White,17.0
381,2020.0,Sigmoid colon - Malignant neoplasms,White,15.0
382,2020.0,"Colon, unspecified - Malignant neoplasms",American Indian or Alaska Native,27.0
383,2020.0,"Colon, unspecified - Malignant neoplasms",Asian or Pacific Islander,22.0
384,2020.0,"Colon, unspecified - Malignant neoplasms",Black or African American,41.0
385,2020.0,"Colon, unspecified - Malignant neoplasms",White,798.0
386,2020.0,Malignant neoplasm of rectosigmoid junction,White,40.0
387,2020.0,Malignant neoplasm of rectum,White,130.0
388,2020.0,"Anus, unspecified - Malignant neoplasms",White,27.0
