Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Alabama,1,2019,2019,"Pharynx, unspecified - Malignant neoplasms",C14.0,55-64 years,55-64,23,657667,3.5
,Alabama,1,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,18,616616,Unreliable
,Alabama,1,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,69,657667,10.5
,Alabama,1,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,19,616616,Unreliable
,Alabama,1,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,35,657667,5.3
,Alabama,1,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,65,616616,10.5
,Alabama,1,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,141,657667,21.4
,Alabama,1,2019,2019,Malignant neoplasm of rectum,C20,45-54 years,45-54,13,616616,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm of rectum,C20,55-64 years,55-64,26,657667,4
,Alabama,1,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,39,657667,5.9
,Alabama,1,2019,2019,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,55-64 years,55-64,18,657667,Unreliable
,Alabama,1,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,45-54 years,45-54,14,616616,Unreliable
,Alabama,1,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,55-64 years,55-64,60,657667,9.1
,Alabama,1,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,45-54 years,45-54,44,616616,7.1
,Alabama,1,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,150,657667,22.8
,Alabama,1,2019,2019,"Larynx, unspecified - Malignant neoplasms",C32.9,55-64 years,55-64,24,657667,3.6
,Alabama,1,2019,2019,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,55-64 years,55-64,12,657667,Unreliable
,Alabama,1,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,127,616616,20.6
,Alabama,1,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,582,657667,88.5
,Alabama,1,2019,2019,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,55-64 years,55-64,20,657667,3
,Alabama,1,2019,2019,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,55-64 years,55-64,10,657667,Unreliable
,Alabama,1,2019,2019,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,55-64 years,55-64,11,657667,Unreliable
,Alabama,1,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,64,616616,10.4
,Alabama,1,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,157,657667,23.9
,Alabama,1,2019,2019,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,45-54 years,45-54,13,616616,Unreliable
,Alabama,1,2019,2019,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,55-64 years,55-64,15,657667,Unreliable
,Alabama,1,2019,2019,Endometrium - Malignant neoplasms,C54.1,55-64 years,55-64,14,657667,Unreliable
,Alabama,1,2019,2019,"Malignant neoplasm of uterus, part unspecified",C55,55-64 years,55-64,16,657667,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm of ovary,C56,45-54 years,45-54,13,616616,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm of ovary,C56,55-64 years,55-64,39,657667,5.9
,Alabama,1,2019,2019,Malignant neoplasm of prostate,C61,45-54 years,45-54,10,616616,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm of prostate,C61,55-64 years,55-64,51,657667,7.8
,Alabama,1,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,45-54 years,45-54,13,616616,Unreliable
,Alabama,1,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,55-64 years,55-64,59,657667,9
,Alabama,1,2019,2019,"Bladder, unspecified - Malignant neoplasms",C67.9,55-64 years,55-64,23,657667,3.5
,Alabama,1,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,45-54 years,45-54,20,616616,3.2
,Alabama,1,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,55-64 years,55-64,72,657667,10.9
,Alabama,1,2019,2019,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,55-64 years,55-64,15,657667,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm without specification of site,C80,45-54 years,45-54,33,616616,5.4
,Alabama,1,2019,2019,Malignant neoplasm without specification of site,C80,55-64 years,55-64,103,657667,15.7
,Alabama,1,2019,2019,Non-Hodgkin lymphoma large cell (diffuse),C83.3,55-64 years,55-64,10,657667,Unreliable
,Alabama,1,2019,2019,"Non-Hodgkin lymphoma, unspecified type",C85.9,55-64 years,55-64,18,657667,Unreliable
,Alabama,1,2019,2019,Multiple myeloma - Malignant neoplasms,C90.0,45-54 years,45-54,11,616616,Unreliable
,Alabama,1,2019,2019,Multiple myeloma - Malignant neoplasms,C90.0,55-64 years,55-64,35,657667,5.3
,Alabama,1,2019,2019,Acute myeloid leukaemia - Malignant neoplasms,C92.0,55-64 years,55-64,15,657667,Unreliable
,Alabama,1,2019,2019,Malignant neoplasms of independent (primary) multiple sites,C97,55-64 years,55-64,15,657667,Unreliable
,Alabama,1,2020,2020,"Pharynx, unspecified - Malignant neoplasms",C14.0,55-64 years,55-64,17,657281,Unreliable
,Alabama,1,2020,2020,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,21,608174,3.5
,Alabama,1,2020,2020,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,64,657281,9.7
,Alabama,1,2020,2020,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,29,657281,4.4
,Alabama,1,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,68,608174,11.2
,Alabama,1,2020,2020,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,143,657281,21.8
,Alabama,1,2020,2020,Malignant neoplasm of rectosigmoid junction,C19,55-64 years,55-64,17,657281,Unreliable
,Alabama,1,2020,2020,Malignant neoplasm of rectum,C20,45-54 years,45-54,15,608174,Unreliable
,Alabama,1,2020,2020,Malignant neoplasm of rectum,C20,55-64 years,55-64,22,657281,3.3
,Alabama,1,2020,2020,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,48,657281,7.3
,Alabama,1,2020,2020,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,55-64 years,55-64,30,657281,4.6
,Alabama,1,2020,2020,"Liver, unspecified - Malignant neoplasms",C22.9,45-54 years,45-54,10,608174,Unreliable
,Alabama,1,2020,2020,"Liver, unspecified - Malignant neoplasms",C22.9,55-64 years,55-64,69,657281,10.5
,Alabama,1,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,45-54 years,45-54,47,608174,7.7
,Alabama,1,2020,2020,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,157,657281,23.9
,Alabama,1,2020,2020,"Larynx, unspecified - Malignant neoplasms",C32.9,55-64 years,55-64,16,657281,Unreliable
,Alabama,1,2020,2020,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,55-64 years,55-64,12,657281,Unreliable
,Alabama,1,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,122,608174,20.1
,Alabama,1,2020,2020,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,598,657281,91
,Alabama,1,2020,2020,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,55-64 years,55-64,10,657281,Unreliable
