Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Alabama,1,2019,2019,"Tongue, unspecified - Malignant neoplasms",C02.9,65-74 years,65-74,13,501447,Unreliable
,Alabama,1,2019,2019,"Pharynx, unspecified - Malignant neoplasms",C14.0,65-74 years,65-74,23,501447,4.6
,Alabama,1,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,78,501447,15.6
,Alabama,1,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,56,256847,21.8
,Alabama,1,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,85+ years,85+,14,91543,Unreliable
,Alabama,1,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,60,501447,12
,Alabama,1,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,48,256847,18.7
,Alabama,1,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,85+ years,85+,24,91543,26.2
,Alabama,1,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,184,501447,36.7
,Alabama,1,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,145,256847,56.5
,Alabama,1,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,106,91543,115.8
,Alabama,1,2019,2019,Malignant neoplasm of rectosigmoid junction,C19,65-74 years,65-74,14,501447,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm of rectosigmoid junction,C19,75-84 years,75-84,10,256847,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm of rectum,C20,65-74 years,65-74,32,501447,6.4
,Alabama,1,2019,2019,Malignant neoplasm of rectum,C20,75-84 years,75-84,21,256847,8.2
,Alabama,1,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,65-74 years,65-74,51,501447,10.2
,Alabama,1,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,75-84 years,75-84,24,256847,9.3
,Alabama,1,2019,2019,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,65-74 years,65-74,39,501447,7.8
,Alabama,1,2019,2019,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,75-84 years,75-84,25,256847,9.7
,Alabama,1,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,65-74 years,65-74,86,501447,17.2
,Alabama,1,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,75-84 years,75-84,62,256847,24.1
,Alabama,1,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,85+ years,85+,39,91543,42.6
,Alabama,1,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,65-74 years,65-74,224,501447,44.7
,Alabama,1,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,75-84 years,75-84,197,256847,76.7
,Alabama,1,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,85+ years,85+,79,91543,86.3
