Notes,State,State Code,Year,Year Code,Cause of death,Cause of death Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Alabama,1,2019,2019,"Tongue, unspecified - Malignant neoplasms",C02.9,Male,M,28,2369517,1.2
,Alabama,1,2019,2019,"Mouth, unspecified - Malignant neoplasms",C06.9,Female,F,11,2533668,Unreliable
,Alabama,1,2019,2019,"Mouth, unspecified - Malignant neoplasms",C06.9,Male,M,16,2369517,Unreliable
,Alabama,1,2019,2019,"Tonsil, unspecified - Malignant neoplasms",C09.9,Male,M,11,2369517,Unreliable
,Alabama,1,2019,2019,"Oropharynx, unspecified - Malignant neoplasms",C10.9,Male,M,15,2369517,Unreliable
,Alabama,1,2019,2019,"Pharynx, unspecified - Malignant neoplasms",C14.0,Female,F,10,2533668,Unreliable
,Alabama,1,2019,2019,"Pharynx, unspecified - Malignant neoplasms",C14.0,Male,M,53,2369517,2.2
,Alabama,1,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Female,F,40,2533668,1.6
,Alabama,1,2019,2019,"Oesophagus, unspecified - Malignant neoplasms",C15.9,Male,M,200,2369517,8.4
,Alabama,1,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,Female,F,89,2533668,3.5
,Alabama,1,2019,2019,"Stomach, unspecified - Malignant neoplasms",C16.9,Male,M,100,2369517,4.2
,Alabama,1,2019,2019,Sigmoid colon - Malignant neoplasms,C18.7,Female,F,13,2533668,Unreliable
,Alabama,1,2019,2019,Sigmoid colon - Malignant neoplasms,C18.7,Male,M,11,2369517,Unreliable
,Alabama,1,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,Female,F,306,2533668,12.1
,Alabama,1,2019,2019,"Colon, unspecified - Malignant neoplasms",C18.9,Male,M,356,2369517,15
,Alabama,1,2019,2019,Malignant neoplasm of rectosigmoid junction,C19,Female,F,17,2533668,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm of rectosigmoid junction,C19,Male,M,26,2369517,1.1
,Alabama,1,2019,2019,Malignant neoplasm of rectum,C20,Female,F,44,2533668,1.7
,Alabama,1,2019,2019,Malignant neoplasm of rectum,C20,Male,M,59,2369517,2.5
,Alabama,1,2019,2019,"Anus, unspecified - Malignant neoplasms",C21.0,Female,F,12,2533668,Unreliable
,Alabama,1,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,Female,F,31,2533668,1.2
,Alabama,1,2019,2019,Liver cell carcinoma - Malignant neoplasms,C22.0,Male,M,95,2369517,4
,Alabama,1,2019,2019,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Female,F,51,2533668,2
,Alabama,1,2019,2019,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,Male,M,47,2369517,2
,Alabama,1,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,Female,F,101,2533668,4
,Alabama,1,2019,2019,"Liver, unspecified - Malignant neoplasms",C22.9,Male,M,164,2369517,6.9
,Alabama,1,2019,2019,Malignant neoplasm of gallbladder,C23,Female,F,14,2533668,Unreliable
,Alabama,1,2019,2019,Malignant neoplasm of gallbladder,C23,Male,M,11,2369517,Unreliable
,Alabama,1,2019,2019,Extrahepatic bile duct - Malignant neoplasms,C24.0,Male,M,12,2369517,Unreliable
,Alabama,1,2019,2019,Head of pancreas - Malignant neoplasms,C25.0,Female,F,14,2533668,Unreliable
,Alabama,1,2019,2019,Head of pancreas - Malignant neoplasms,C25.0,Male,M,11,2369517,Unreliable
,Alabama,1,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,Female,F,347,2533668,13.7
,Alabama,1,2019,2019,"Pancreas, unspecified - Malignant neoplasms",C25.9,Male,M,353,2369517,14.9
,Alabama,1,2019,2019,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,Female,F,10,2533668,Unreliable
,Alabama,1,2019,2019,"Larynx, unspecified - Malignant neoplasms",C32.9,Female,F,15,2533668,Unreliable
,Alabama,1,2019,2019,"Larynx, unspecified - Malignant neoplasms",C32.9,Male,M,50,2369517,2.1
,Alabama,1,2019,2019,Main bronchus - Malignant neoplasms,C34.0,Male,M,14,2369517,Unreliable
,Alabama,1,2019,2019,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,Female,F,28,2533668,1.1
,Alabama,1,2019,2019,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,Male,M,37,2369517,1.6
,Alabama,1,2019,2019,"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,Female,F,12,2533668,Unreliable
,Alabama,1,2019,2019,"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,Male,M,15,2369517,Unreliable
,Alabama,1,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,1029,2533668,40.6
,Alabama,1,2019,2019,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,1593,2369517,67.2
,Alabama,1,2019,2019,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,Female,F,15,2533668,Unreliable
,Alabama,1,2019,2019,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,Male,M,26,2369517,1.1
,Alabama,1,2019,2019,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Female,F,39,2533668,1.5
,Alabama,1,2019,2019,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,Male,M,69,2369517,2.9
,Alabama,1,2019,2019,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,Male,M,40,2369517,1.7
,Alabama,1,2019,2019,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,Male,M,14,2369517,Unreliable
,Alabama,1,2019,2019,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Female,F,27,2533668,1.1
,Alabama,1,2019,2019,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,Male,M,30,2369517,1.3
,Alabama,1,2019,2019,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,697,2533668,27.5
,Alabama,1,2019,2019,"Vulva, unspecified - Malignant neoplasms",C51.9,Female,F,23,2533668,0.9
,Alabama,1,2019,2019,Malignant neoplasm of vagina,C52,Female,F,17,2533668,Unreliable
,Alabama,1,2019,2019,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,Female,F,84,2533668,3.3
,Alabama,1,2019,2019,Endometrium - Malignant neoplasms,C54.1,Female,F,91,2533668,3.6
,Alabama,1,2019,2019,"Malignant neoplasm of uterus, part unspecified",C55,Female,F,44,2533668,1.7
,Alabama,1,2019,2019,Malignant neoplasm of ovary,C56,Female,F,220,2533668,8.7
,Alabama,1,2019,2019,Malignant neoplasm of prostate,C61,Male,M,507,2369517,21.4
,Alabama,1,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,Female,F,68,2533668,2.7
,Alabama,1,2019,2019,"Malignant neoplasm of kidney, except renal pelvis",C64,Male,M,150,2369517,6.3
,Alabama,1,2019,2019,"Bladder, unspecified - Malignant neoplasms",C67.9,Female,F,85,2533668,3.4
,Alabama,1,2019,2019,"Bladder, unspecified - Malignant neoplasms",C67.9,Male,M,174,2369517,7.3
,Alabama,1,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,Female,F,115,2533668,4.5
,Alabama,1,2019,2019,"Brain, unspecified - Malignant neoplasms",C71.9,Male,M,156,2369517,6.6
,Alabama,1,2019,2019,Malignant neoplasm of thyroid gland,C73,Female,F,20,2533668,0.8
,Alabama,1,2019,2019,"Head, face and neck - Malignant neoplasms",C76.0,Male,M,11,2369517,Unreliable
,Alabama,1,2019,2019,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,Female,F,15,2533668,Unreliable
,Alabama,1,2019,2019,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,Male,M,41,2369517,1.7
,Alabama,1,2019,2019,Malignant neoplasm without specification of site,C80,Female,F,195,2533668,7.7
,Alabama,1,2019,2019,Malignant neoplasm without specification of site,C80,Male,M,264,2369517,11.1
,Alabama,1,2019,2019,"Hodgkin disease, unspecified",C81.9,Male,M,13,2369517,Unreliable
,Alabama,1,2019,2019,Non-Hodgkin lymphoma small cleaved cell (diffuse),C83.1,Male,M,12,2369517,Unreliable
,Alabama,1,2019,2019,Non-Hodgkin lymphoma large cell (diffuse),C83.3,Female,F,18,2533668,Unreliable
,Alabama,1,2019,2019,Non-Hodgkin lymphoma large cell (diffuse),C83.3,Male,M,25,2369517,1.1
,Alabama,1,2019,2019,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,Male,M,12,2369517,Unreliable
,Alabama,1,2019,2019,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,Female,F,18,2533668,Unreliable
,Alabama,1,2019,2019,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,Male,M,28,2369517,1.2
,Alabama,1,2019,2019,"Non-Hodgkin lymphoma, unspecified type",C85.9,Female,F,68,2533668,2.7
,Alabama,1,2019,2019,"Non-Hodgkin lymphoma, unspecified type",C85.9,Male,M,84,2369517,3.5
,Alabama,1,2019,2019,Multiple myeloma - Malignant neoplasms,C90.0,Female,F,97,2533668,3.8
,Alabama,1,2019,2019,Multiple myeloma - Malignant neoplasms,C90.0,Male,M,127,2369517,5.4
,Alabama,1,2019,2019,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,Male,M,11,2369517,Unreliable
,Alabama,1,2019,2019,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,Female,F,29,2533668,1.1
,Alabama,1,2019,2019,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,Male,M,33,2369517,1.4
,Alabama,1,2019,2019,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Female,F,48,2533668,1.9
,Alabama,1,2019,2019,Acute myeloid leukaemia - Malignant neoplasms,C92.0,Male,M,65,2369517,2.7
,Alabama,1,2019,2019,"Leukaemia, unspecified - Malignant neoplasms",C95.9,Female,F,23,2533668,0.9
,Alabama,1,2019,2019,"Leukaemia, unspecified - Malignant neoplasms",C95.9,Male,M,39,2369517,1.6
,Alabama,1,2019,2019,Malignant neoplasms of independent (primary) multiple sites,C97,Female,F,40,2533668,1.6
,Alabama,1,2019,2019,Malignant neoplasms of independent (primary) multiple sites,C97,Male,M,55,2369517,2.3
,Alabama,1,2019,2019,"Brain, unspecified - Uncertain neoplasms",D43.2,Male,M,15,2369517,Unreliable
,Alabama,1,2019,2019,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,Female,F,42,2533668,1.7
,Alabama,1,2019,2019,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,Male,M,56,2369517,2.4
